,Precision,Recall,F-Meausre
User 1,1.0,0.868421052632,0.929577464789
User 2,1.0,0.894736842105,0.944444444444
User 3,1.0,0.84,0.913043478261
User 4,1.0,0.84,0.913043478261
User 5,1.0,0.888888888889,0.941176470588
User 6,1.0,0.888888888889,0.941176470588
User 7,1.0,0.772727272727,0.871794871795
User 8,1.0,0.772727272727,0.871794871795
User 9,1.0,0.955555555556,0.977272727273
User 10,1.0,0.955555555556,0.977272727273
