,Precision,Recall,F-Meausre
User 1,0.857142857143,0.857142857143,0.857142857143
User 2,0.857142857143,0.857142857143,0.857142857143
User 3,0.571428571429,0.5,0.533333333333
User 4,0.428571428571,0.375,0.4
User 5,0.857142857143,0.666666666667,0.75
User 6,0.857142857143,0.666666666667,0.75
User 7,0.666666666667,0.615384615385,0.64
User 8,0.75,0.692307692308,0.72
User 9,0.708333333333,0.653846153846,0.68
User 10,0.4,0.230769230769,0.292682926829
