,Precision,Recall,F-Meausre
User 1,1,1,1
User 2,0.928571429,0.928571429,0.928571429
User 3,1,1,1
User 4,1,1,1
User 5,0.777777778,0.777777778,0.777777778
User 6,0.944444444,0.944444444,0.944444444
User 7,0.846153846,0.846153846,0.846153846
User 8,0.923076923,0.923076923,0.923076923
User 9,0.653846154,0.653846154,0.653846154
User 10,0.923076923,0.923076923,0.923076923
Average,0.89969475,0.89969475,0.89969475
