,Precision,Recall,F-Meausre
User 1,0.894736842,0.894736842,0.894736842
User 2,0.947368421,0.947368421,0.947368421
User 3,0.96,0.96,0.96
User 4,0.92,0.92,0.92
User 5,0.933333333,0.933333333,0.933333333
User 6,0.866666667,0.866666667,0.866666667
User 7,0.954545455,0.954545455,0.954545455
User 8,1,1,1
User 9,0.888888889,0.888888889,0.888888889
User 10,0.955555556,0.955555556,0.955555556
Average,0.932109516,0.932109516,0.932109516
