,Precision,Recall,F-Meausre
User 1,0.894736842105,0.894736842105,0.894736842105
User 2,0.973684210526,0.973684210526,0.973684210526
User 3,0.96,0.96,0.96
User 4,0.84,0.84,0.84
User 5,1.0,1.0,1.0
User 6,0.955555555556,0.955555555556,0.955555555556
User 7,1.0,1.0,1.0
User 8,1.0,1.0,1.0
User 9,0.933333333333,0.933333333333,0.933333333333
User 10,0.955555555556,0.955555555556,0.955555555556
